id	PD_meta_logFC	PD_meta_se	PD_meta_p	PD_I2	PD_tau2	PD_meta_FDR
AK056973	-0.0315510214777276	0.0236022919274058	0.181295155602662	0	0	0.24406737446741
AK094915	0.0527094490714937	0.0284637205823103	0.0640528756925904	21.6069761061588	0.000352526103874735	0.0982558675672745
AK096803	0.112901308064251	0.0405613230231916	0.00537804995860632	42.6439250569322	0.00140651958708444	0.0103511083367196
AKR1C2	-0.80322802252799	0.0929802259597795	5.68576237979962e-18	0	0	4.75089183465949e-17
ALG10B	-0.169322517112731	0.0466378851230886	0.000282786347040265	13.5610571210452	0.000592800875410611	0.000679782394406612
ALPPL2	-0.016355739650544	0.0404431705786927	0.685909120169402	4.31812259519463	0.000142167403132593	0.753809968316471
AMY1A	-0.413871271802251	0.0612176178827035	1.37368080397035e-11	0	0	6.92016590521874e-11
AMY2B	-0.160980737691865	0.0456893730188524	0.000426090034695942	0	0	0.000992686970913602
ANKHD1-EIF4EBP3	-0.17029263305626	0.0297573826697068	1.04843077621502e-08	28.9523719993469	0.000512958412254469	4.22777886093202e-08
ANKRD20A11P	-0.178972782719492	0.0807609081093325	0.026685896977366	0	0	0.0444253725542741
ANKRD20A12P	-0.115290075800467	0.0517030620885505	0.0257573991196148	0	0	0.043003227348598
ANKRD20A2	0.156364706401761	0.0581863232700237	0.00720300016205934	0	0	0.0134466318814813
ANKRD20A5P	-0.114893939701698	0.045583204128375	0.0117177473473075	0	0	0.0210205868274211
ANKRD30BP2	-0.0610245497206309	0.0259941976950731	0.0188936858486456	0	0	0.0323838520758837
ANKRD39	0.00347634844254949	0.0244102044358201	0.88675321216676	0	0	0.915188291416763
ANXA8L1	-0.128096334032375	0.0492130303681099	0.00924403512618169	61.4935684550173	0.00297879745881608	0.0168584816886713
AP000662.4	-0.0806590345250993	0.0197777631131117	4.53722885064087e-05	0	0	0.000122448815875991
APITD1-CORT	-0.420014943061584	0.0434188229224685	3.90519677750798e-22	0	0	4.46528421007162e-21
APOA1-AS	0.119376033758227	0.0226020622722529	1.28030191105116e-07	0	0	4.65515632093496e-07
APOBEC3A_B	-0.119179319181581	0.0995460221774107	0.231217565437496	0	0	0.301467463413629
APOBEC3G	0.511320106355181	0.0847944203849997	1.6384304609662e-09	55.4191264261839	0.00797087938188785	7.03109170656605e-09
