ID	GSM172405	GSM172406	GSM172407	GSM172408	GSM172409	GSM172410	GSM172411	GSM172412	GSM172413	GSM172414	GSM172415	GSM172416	GSM172417	GSM172418	GSM172419	GSM172420	GSM172421	GSM172422	GSM172423	GSM172424	GSM172425	GSM172426	GSM172427	GSM172428	GSM172429	GSM172430
A1BG	2.28422353831212	6.07602462352104	3.29915199692109	4.02089908848684	4.06747743802086	3.83251372057102	1.47685477091504	4.79045310290497	4.82028381634537	4.31937151512622	4.24989286091663	4.33704479237637	3.76413612037811	4.01120158152969	4.24022703281783	4.34307450065753	4.55953890049136	4.06953811360382	4.00033395348303	4.50619831832915	2.8062561450899	1.20038872469575	4.9147326365265	3.91608324625412	3.80644895243849	4.47896576618523
A1BG-AS1	2.673355141098	3.40497009262946	2.44150881033057	2.36078025644482	4.28449967655108	2.99873692490813	2.21549450027082	2.25345706131109	3.41861141837438	2.71715558032379	2.62485856619339	2.84873238716172	2.438828296301	5.46513931473565	3.22633583152964	3.75865669560826	1.95480820371608	2.7408449371837	5.03803271184289	1.96243879487417	2.51556411494402	4.29063989213269	4.73327923187104	4.01829295501552	4.67437151809938	2.74283491519159
A1CF	3.62381763596689	3.63779626710845	3.13140921865751	4.08691429189962	3.82467779433021	3.07127451295875	3.635998183459	3.99241131877575	2.67156378513139	3.98899975528109	3.35401510029569	3.64081089070924	3.62300553194981	3.19733672255419	3.71539368572915	4.30804789605253	3.47185389674089	3.32275792474025	3.2503634898948	4.2112766321914	4.24164953400899	2.93256963480905	3.94730302147042	2.24020303722264	4.20620840807204	4.4902440158306
A2M	3.01645466340192	1.71615537710751	2.6983797067717	2.96667068167199	2.8888117948993	2.02200066188221	3.53835222881095	3.2920223475329	2.99336541106045	3.17443696221342	2.95098839617395	2.72371443784414	3.19898441308513	1.99973575903089	3.11348755386955	2.83367667853748	2.48798878011997	3.42231113776898	3.61529264605836	2.99982830689278	2.94757922794786	3.28845041689604	4.09112134632245	3.10913603670449	3.23226075890114	3.46312449680606
A2M-AS1	3.89184413039837	5.80375693971874	4.47231149811148	4.03050955066028	4.29995355610323	5.14347869345261	5.93400928041557	4.46152754558949	5.51789595144107	4.43685243155757	2.58229712580975	5.75171835617535	3.99273599613041	2.57781789707162	4.48705385236369	4.90192315611063	3.94324961592407	4.18480828286884	3.61837996034387	5.03694598070364	4.5033601476557	5.53363029890052	4.33266299396686	4.53719163807748	4.04317870230771	4.24062530120348
A2ML1	3.30024059016201	4.74869556963219	4.18583483351846	5.03045614710359	4.7560290738394	3.65042155019226	4.68565203192676	4.19821756107373	4.89608762263378	4.23650937218345	4.58832667592609	4.61822383146458	4.40738425798252	4.39177889538149	3.80018560413608	3.72344091983296	4.16325896857747	4.53179658259483	4.34759589017284	4.69396823631905	4.36119547020952	3.30325711081177	5.30876120681192	3.6602540751204	4.18648607634354	4.36341977318509
A2MP1	4.50130600561354	3.9262070202965	3.93209211823516	3.57642577570416	4.1541076919148	3.3741616195754	2.82092879288711	2.83694218232338	4.08983416181079	2.87526234781025	2.84684729422869	2.90577463797135	0.49189203939248	4.1327716347443	3.55232001571987	3.5719075370941	2.98658021668261	2.65562569372745	0.668567748429376	2.52223714815757	2.1106587192154	2.93887450769936	4.12672448708971	2.4896599932019	1.73626327629639	3.80144904265888
A4GALT	3.55190234416776	3.88248379203049	4.15429135394034	3.03149378023194	3.17053908322647	5.21217537258091	3.248402661375	3.64949761900535	3.31360107358005	3.55269304485925	3.40692868864558	3.56463252556361	4.36951987213977	3.45208884103019	3.1383205977099	2.97090868671925	2.83084375241396	3.45130248055351	3.9744937468416	3.54281036266507	2.91986477869817	4.05415154882519	4.48431387165323	3.21906488326045	3.91813891256578	3.3730605079187
A4GNT	4.36494637444248	4.05863702447035	2.32337263823004	3.14033772563042	4.50944604847426	4.20661007719708	4.4921599575459	4.65485684673844	3.93359075467999	4.01659389466077	3.65029410992693	0.157756853453271	5.12756607326079	3.23710880214312	4.64346679939277	4.50388130613744	4.20206893561635	4.26190784549649	4.76397862120651	1.7232068907686	2.19637925669562	2.32991308614079	2.69779583506377	3.65445535245675	2.90168904401685	5.42734280108351
AA06	5.6242525810984	4.90334597817106	5.80599146690368	5.07370126190624	4.36057441590791	4.90491307483298	4.74139394190436	5.01231739357207	3.7608776248948	5.48794856778326	5.39045918954886	5.45187446321589	4.90353559530397	5.76705753948251	5.48073590767688	5.49726107337074	4.26002332979519	5.0452231982061	5.44683013976658	4.40127288384726	4.68309678109805	4.95812401502276	4.68887279030684	5.04946413336481	4.79660752932624	5.65313507257712
AAAS	4.41811590875561	4.07988748118338	2.71906706105734	4.41988238141053	4.80681828696354	2.5948913719828	3.43896266977953	4.99980350771561	5.25090371776132	3.71530692012472	4.21080903502262	4.01301457854785	5.0172136166975	3.62300553194981	4.66112378169297	4.78106570454823	3.20997472162054	3.68598454327446	4.96897001168583	4.65599682136714	4.62740934402346	5.61645455444564	5.21335446227099	4.07826415048413	3.48794226621971	1.91264575619752
