id	OP_meta_p	OP_dir_consistent	OP_mean_logFC	OP_meta_FDR
ADAM29	0.000232054840712727	TRUE	-0.164837950782447	0.0417661879181208
HIVEP3	0.00405219882427342	TRUE	-0.122292765716422	0.12578993415208
MMP3	0.000146985531912765	TRUE	-0.121167833492242	0.0362776285337425
ART1	0.00740896620969044	TRUE	-0.114278839685972	0.161192131150488
ZNF528	0.00416888868656082	FALSE	0.10244688511778	0.126142333845694
COQ7	0.00184812184082543	FALSE	0.0583389004109587	0.0919116383908751
TLR3	0.00988284285888558	TRUE	0.130640257186334	0.181036438088697
IFNA2	0.0154944387459496	TRUE	-0.14051861029053	0.215044603354128
TRPV2	0.00478022244569376	FALSE	-0.0462069967926075	0.134587643408052
BIK	0.00221838595926025	TRUE	-0.125877326904044	0.100216248573912
EGLN2	0.014164493671594	FALSE	-0.0507472442260006	0.20750800225091
ZNF222	0.00999405937984239	FALSE	0.116309152793157	0.181316222892852
ZNF706	0.0246683717897262	FALSE	0.15379313422786	0.262021025112917
ELSPBP1	0.00744229460467735	TRUE	-0.0959444490257273	0.161192131150488
AP2A2	0.0122483059321201	FALSE	-0.0586555560018914	0.194787574985007
AZGP1	0.0192774480677109	TRUE	0.111880380294592	0.236565999610145
SDF2L1	0.0274002078103965	FALSE	-0.0955103901963798	0.273782581144005
C19orf10	0.00177158409144802	TRUE	-0.142476266050158	0.0906680095836422
TMEM177	0.0162368830978366	FALSE	0.0795637182443636	0.219047216772424
CNR1	0.00646818563056152	TRUE	-0.0976012935488854	0.152879112889354
TIMM13	0.00744904107265683	TRUE	-0.120269904221096	0.161192131150488
ACTR1B	0.0207553998866077	FALSE	-0.0673672633804873	0.245046875381046
ENOX1	0.0333059349546585	FALSE	-0.0531347769135917	0.295785280228938
CCT8L2	0.0199466644529991	FALSE	-0.124567043468324	0.241135533918911
LRRC36	0.0398618119953749	TRUE	-0.0723379152412587	0.315649780659111
NDUFB1	0.000881836862782591	FALSE	-0.055619548351477	0.0700145764944866
RRP8	0.030533605910519	TRUE	-0.107540373728328	0.28828119597518
ZNF79	0.00307538005214038	FALSE	0.0335602719009473	0.114647011330044
PPAT	0.0190815903580598	TRUE	0.121337252877334	0.235248110984553
CENPN	0.00405212880998039	FALSE	0.0674204209189643	0.12578993415208
EIF1	0.0289860911307357	FALSE	-0.064807780145917	0.280873858356871
BRD4	0.0048833956564474	TRUE	-0.227131763248487	0.135717704285434
COTL1	0.0251325751431933	FALSE	-0.0709482873347939	0.262356954225944
PEX26	0.00557477136881255	TRUE	-0.158376612582597	0.14289526848422
RASSF8	0.0555765670154706	TRUE	-0.0726352724735404	0.352254160641935
ACOT8	0.0244118778880496	FALSE	-0.0386194622353662	0.260945710413733
SH3BGRL	0.0127266813122162	TRUE	0.255647840833648	0.19795421823845
ATXN2L	0.0335569759403798	TRUE	-0.0891025338753917	0.296341549990628
ST18	0.0568987635558229	FALSE	-0.0429959920483025	0.3563035238434
C2CD2L	0.0503428197779142	FALSE	-0.156469422497688	0.342948264819582
UGT2A1	0.0013655283426123	TRUE	0.113197215995161	0.0805646145902433
TMEM5	0.0285592279065265	TRUE	-0.0986527047471596	0.279648605554494
CD80	0.0164752115753873	FALSE	0.0488794665688348	0.220541176034442
CXADR	0.0200107865216981	FALSE	-0.204631379332703	0.241135533918911
ZNF668	0.0566135236650742	FALSE	-0.0773839192113745	0.355935076973369
ACOXL	0.0625744660249779	TRUE	-0.0522059443823509	0.370512725982885
PIM1	0.0013629893454048	FALSE	-0.067199940061608	0.0805646145902433
HLX	0.00236346863880742	FALSE	-0.0193009333534805	0.104187822029736
PLSCR4	0.0426750914078176	FALSE	0.0638404443774247	0.320883860393398
MECOM	0.0665201610372358	TRUE	-0.053253038781086	0.379387188192066
EFCAB1	0.000286430466194894	FALSE	-0.0137775611975641	0.0444908911806014
ST3GAL4	0.0245917908182792	TRUE	-0.0917803967976751	0.261581910026705
LIPT1	0.00764338466215427	FALSE	0.074845228205762	0.162604763009695
DKK1	0.0118960540154114	TRUE	-0.0866415463230018	0.193780590549037
HSD17B6	0.0159394449368937	FALSE	0.0325396750834294	0.21696377673024
CACNA2D3	0.000366351562630181	FALSE	-0.0775684068123095	0.0454972172962296
GPR64	0.0774507656335563	FALSE	-0.0408215067579594	0.39864468067131
SALL1	0.0255418342953707	FALSE	-0.0556875377381817	0.264250783827744
IRF2	0.040869398644071	TRUE	0.143985712578299	0.317364908789891
DNASE2B	0.0417428716175372	FALSE	0.0429214244404918	0.318723219275291
MRPL49	0.0479015852294203	TRUE	-0.0929794166004769	0.338188665708987
GMCL1	0.0799073551884807	TRUE	-0.0752234434237668	0.40359443228605
WASF2	0.0293425790694511	FALSE	-0.0349429977616492	0.281676473985794
ZNF264	0.00136499055614022	TRUE	0.185955099049126	0.0805646145902433
WDR5B	0.00373665063864533	FALSE	0.0220135691485819	0.122456305178033
FRMPD1	0.0140370736391537	TRUE	-0.0700877285593266	0.206988577079226
RGS7	0.0649489916538923	FALSE	-0.055508135638016	0.376126974649379
GYPB	0.0574279908015542	TRUE	-0.142777222483694	0.357346528363767
CYP51A1	0.0811261456165775	FALSE	0.211496496586621	0.404718860056172
TPM3	0.017548760677251	FALSE	-0.0519928380495193	0.225857924140972
IL22	0.0670029914247896	TRUE	0.0766153580067634	0.380692155939657
MEF2C	0.0662388428985017	TRUE	0.120902030764025	0.378951684977856
NR4A1	0.081875952064224	TRUE	-0.158154766079083	0.405708879671919
GABRR1	0.0124003365125544	TRUE	-0.0676890471216332	0.195832055314561
ABCG1	0.0632937642621682	FALSE	0.0696318559255724	0.372051836686742
MAP1LC3B	0.000890082967638501	TRUE	0.24048421094686	0.0700145764944866
NDST4	0.00123856033583371	FALSE	-0.0133356491327313	0.0799607950943813
IFNA1	0.0520824006230323	TRUE	-0.186435860847102	0.347031879329511
SPATA20	0.0118880708329519	FALSE	-0.071453334816214	0.193780590549037
TP63	0.000262279941215372	TRUE	-0.100621068112568	0.0437351801976633
CYBA	0.0699199729077799	TRUE	-0.104468679444834	0.386931465496006
ZNF37BP	1.20349796309188e-05	FALSE	0.0581228448382795	0.0124058758213626
ABCA1	0.0254946774147129	FALSE	0.0807977909985502	0.264003787402218
DUSP13	0.0761383680659417	TRUE	-0.0843810685312177	0.395957406698881
GABRG3	0.0152272694107964	TRUE	-0.0775310518330792	0.213162972653112
AHCTF1	0.018024886585227	FALSE	-0.105421086370671	0.228316372015862
TRIM13	0.072026927246783	TRUE	0.078269549064034	0.389820912000371
SRD5A1	0.00636856533916674	FALSE	-0.00703124412184	0.151857618266516
HMGCS2	0.0690943237994546	FALSE	-0.0455834355062489	0.386078546394581
ARHGEF3	0.0101109524806988	FALSE	0.060497509652936	0.182270413638543
AKR1C2	0.0158803726724279	FALSE	0.0762587310682343	0.21696377673024
FEZF2	0.0241046200979424	TRUE	-0.087990974508078	0.260679249341885
UNC119	0.0884802127585657	FALSE	-0.0740279802201352	0.419022005261167
CPT1A	0.0119501012530155	TRUE	-0.187336127597341	0.193780590549037
G0S2	0.0578679896741833	FALSE	-0.206713841865238	0.358707666060615
MCM5	0.0848957304883251	TRUE	-0.0501719038624908	0.414035564734244
LOC100506571	0.0740267488298037	TRUE	0.0858417872989816	0.393340817704379
CD63	0.0477895124893061	FALSE	-0.0725570341346023	0.337623228732861
TMEM8A	0.00241117421354644	FALSE	0.0394706547295335	0.104195511035175
COASY	0.00670883482341049	TRUE	-0.0941173860749477	0.154931727215176
GIP	0.0532197009403795	FALSE	0.0744665298217609	0.347786552196209
C7orf26	0.0102462048241665	TRUE	-0.0953212126905109	0.183541416273655
FUT4	0.00818719962308068	FALSE	-0.060899342326966	0.166926263818315
SMR3B	0.0462240776736108	TRUE	0.113939596293166	0.334028893265042
CSF2	0.0965630706163012	FALSE	0.0562549564666474	0.432265557725322
ST6GALNAC4	0.00321907010120886	FALSE	-0.00123092701376949	0.115119738188728
NFKBIA	5.50893846076046e-05	FALSE	-0.0293775967293605	0.0306838931770202
SEPT8	0.020260271164088	FALSE	-0.0395724343217606	0.242302356577516
HEBP2	0.0589170835403415	FALSE	0.0595751491036324	0.360644597450668
STAM	0.0981990242945223	FALSE	0.0844267721516786	0.433935594885265
UPP1	0.0427395513317075	TRUE	-0.122526650517868	0.321155581544222
