id	PD_meta_logFC	PD_meta_p	PD_I2	PD_meta_FDR
ABHD3	0.244715560180442	3.21372192413856e-08	11.7764424415322	9.48860735729042e-08
ABHD4	0.113790133032034	0.00256902012090403	0	0.0040750519673508
ABHD5	-0.544556505557495	8.19163378767627e-40	0	2.75657646694621e-38
ABHD6	-0.132212916161041	0.000277878700822485	0	0.000514008627498223
ABHD8	0.182280395574996	5.01181455766412e-08	0	1.45428087478423e-07
ABI3	0.274715659371694	2.76475334173374e-21	11.0621412698158	2.43733411656165e-20
ABI3BP	-0.391280466909109	5.50480571912081e-06	0	1.27197259487294e-05
ABL1	0.177718568925632	9.75036618103828e-05	35.8762724228916	0.000192162756564016
ABL2	0.0729041844907818	0.0191753140031227	0	0.0257397587760902
ABLIM1	-0.470202715959039	3.50963031872082e-12	0	1.51045578761077e-11
ABLIM2	-0.189504205924498	4.33067737914647e-07	0	1.12977188151092e-06
ABLIM3	0.16839752518425	1.21153691296124e-06	0	3.01663325498093e-06
ABO	-0.0595349828221046	0.0953253506232443	0	0.109942026292695
abParts	2.50198921898274	1.32472218654671e-66	0	4.34436619613509e-64
ABR	-0.297981032111178	5.0364042246582e-18	0	3.5250920838246e-17
ABRA	0.0268569494756698	0.104445530588318	0	0.119452414889448
ABRACL	0.153530646327165	5.79812604413948e-05	0	0.000117824244545002
ABTB1	0.367557784384223	6.94619313779259e-31	0	1.2093483168568e-29
ABTB2	-0.254804731574037	3.80516713054849e-22	0	3.60850681039448e-21
AC000111.3	0.0200399287727689	0.0471696854637827	0	0.0581862684113151
AC002310.12	-0.0339446615580814	0.161853220553777	0	0.178106676781677
AC002310.7	0.1424204982934	0.000100294695325135	0	0.000197318435818005
AC003973.4	-0.0381879778555828	0.0158374433048256	0	0.0216048982672166
AC003989.4	0.0466597353287243	0.0921590437839468	0	0.1067612506571
AC004490.1	-0.0784518494834175	0.000116518126060271	0	0.000227376115952516
AC004538.3	0.0534642471486057	0.00532074017823737	0	0.00797293267382799
AC004692.5	-0.134010296455259	0.00350808388958636	0	0.00542856118020497
AC004941.5	-0.405359748256227	9.51826167513098e-22	0	8.74138929910069e-21
AC004951.6	0.0991161880016431	0.0550991399981789	0	0.0670143754650811
AC005162.4	0.0998995830458425	0.0141572059216329	0	0.0195269192634774
AC005224.2	-0.226766219090013	6.25566979251378e-13	0	2.88208214680897e-12
AC005256.1	0.111230213485048	0.00693151061553606	13.9393951235132	0.0101686585581475
AC005306.3	0.165889657465202	0.00181023076037172	0	0.00295164818521286
AC005523.2	-0.384114482134629	9.16125457211439e-13	0	4.14139219842675e-12
AC005523.3	0.0878274261812204	0.00659519154067433	0	0.00971319260383302
AC005606.14	0.0240340741034492	0.221356373974725	0	0.237330138345249
AC005754.7	-0.00255963207363251	0.903924063587287	30.1156510983408	0.913675511041103
AC005838.2	0.0719171496035449	0.00923364343578916	0	0.0132159360935827
