"specificity","sensitivity"
1,0
1,0.025
1,0.05
1,0.075
1,0.1
1,0.125
1,0.15
1,0.175
1,0.2
0.975,0.2
0.975,0.225
0.975,0.25
0.975,0.275
0.975,0.3
0.975,0.325
0.975,0.35
0.975,0.375
0.95,0.375
0.95,0.4
0.95,0.425
0.95,0.45
0.95,0.475
0.95,0.5
0.95,0.525
0.95,0.55
0.95,0.575
0.95,0.6
0.95,0.625
0.95,0.65
0.95,0.675
0.95,0.7
0.95,0.725
0.95,0.75
0.95,0.775
0.95,0.8
0.95,0.825
0.95,0.85
0.925,0.85
0.9,0.85
0.9,0.875
0.9,0.9
0.875,0.9
0.875,0.925
0.85,0.925
0.85,0.95
0.825,0.95
0.8,0.95
0.8,0.975
0.8,1
0.775,1
0.75,1
0.725,1
0.7,1
0.675,1
0.65,1
0.625,1
0.6,1
0.575,1
0.55,1
0.525,1
0.5,1
0.475,1
0.45,1
0.425,1
0.4,1
0.375,1
0.35,1
0.325,1
0.3,1
0.275,1
0.25,1
0.225,1
0.2,1
0.175,1
0.15,1
0.125,1
0.1,1
0.075,1
0.05,1
0.025,1
0,1
