"specificity","sensitivity"
1,0
1,0.00546448087431694
1,0.0109289617486339
1,0.0163934426229508
1,0.0218579234972678
1,0.0273224043715847
1,0.0327868852459016
1,0.0382513661202186
1,0.0437158469945355
1,0.0491803278688525
1,0.0546448087431694
1,0.0601092896174863
1,0.0655737704918033
1,0.0710382513661202
1,0.0765027322404372
1,0.0819672131147541
1,0.087431693989071
1,0.092896174863388
1,0.0983606557377049
1,0.103825136612022
1,0.109289617486339
1,0.114754098360656
1,0.120218579234973
1,0.12568306010929
1,0.131147540983607
1,0.136612021857924
1,0.14207650273224
1,0.147540983606557
1,0.153005464480874
1,0.158469945355191
1,0.163934426229508
1,0.169398907103825
1,0.174863387978142
1,0.180327868852459
0.984375,0.180327868852459
0.984375,0.185792349726776
0.984375,0.191256830601093
0.984375,0.19672131147541
0.984375,0.202185792349727
0.984375,0.207650273224044
0.984375,0.213114754098361
0.984375,0.218579234972678
0.984375,0.224043715846995
0.984375,0.229508196721311
0.984375,0.234972677595628
0.984375,0.240437158469945
0.984375,0.245901639344262
0.984375,0.251366120218579
0.984375,0.256830601092896
0.984375,0.262295081967213
0.984375,0.26775956284153
0.984375,0.273224043715847
0.984375,0.278688524590164
0.984375,0.284153005464481
0.984375,0.289617486338798
0.96875,0.289617486338798
0.96875,0.295081967213115
0.96875,0.300546448087432
0.96875,0.306010928961749
0.96875,0.311475409836066
0.96875,0.316939890710383
0.96875,0.322404371584699
0.96875,0.327868852459016
0.96875,0.333333333333333
0.96875,0.33879781420765
0.96875,0.344262295081967
0.96875,0.349726775956284
0.96875,0.355191256830601
0.96875,0.360655737704918
0.96875,0.366120218579235
0.96875,0.371584699453552
0.96875,0.377049180327869
0.96875,0.382513661202186
0.96875,0.387978142076503
0.96875,0.39344262295082
0.96875,0.398907103825137
0.96875,0.404371584699454
0.953125,0.404371584699454
0.953125,0.409836065573771
0.953125,0.415300546448087
0.953125,0.420765027322404
0.953125,0.426229508196721
0.953125,0.431693989071038
0.953125,0.437158469945355
0.953125,0.442622950819672
0.953125,0.448087431693989
0.953125,0.453551912568306
0.953125,0.459016393442623
0.953125,0.46448087431694
0.953125,0.469945355191257
0.953125,0.475409836065574
0.953125,0.480874316939891
0.953125,0.486338797814208
0.953125,0.491803278688525
0.953125,0.497267759562842
0.953125,0.502732240437158
0.953125,0.508196721311475
0.953125,0.513661202185792
0.9375,0.513661202185792
0.9375,0.519125683060109
0.9375,0.524590163934426
0.9375,0.530054644808743
0.9375,0.53551912568306
0.9375,0.540983606557377
0.9375,0.546448087431694
0.921875,0.546448087431694
0.921875,0.551912568306011
0.921875,0.557377049180328
0.921875,0.562841530054645
0.921875,0.568306010928962
0.921875,0.573770491803279
0.921875,0.579234972677596
0.921875,0.584699453551913
0.921875,0.590163934426229
0.921875,0.595628415300546
0.921875,0.601092896174863
0.921875,0.60655737704918
0.921875,0.612021857923497
0.921875,0.617486338797814
0.921875,0.622950819672131
0.921875,0.628415300546448
0.921875,0.633879781420765
0.921875,0.639344262295082
0.921875,0.644808743169399
0.921875,0.650273224043716
0.921875,0.655737704918033
0.921875,0.66120218579235
0.921875,0.666666666666667
0.921875,0.672131147540984
0.921875,0.677595628415301
0.921875,0.683060109289617
0.921875,0.688524590163934
0.90625,0.688524590163934
0.90625,0.693989071038251
0.90625,0.699453551912568
0.90625,0.704918032786885
0.90625,0.710382513661202
0.90625,0.715846994535519
0.90625,0.721311475409836
0.890625,0.721311475409836
0.890625,0.726775956284153
0.890625,0.73224043715847
0.890625,0.737704918032787
0.890625,0.743169398907104
0.890625,0.748633879781421
0.890625,0.754098360655738
0.890625,0.759562841530055
0.890625,0.765027322404372
0.890625,0.770491803278688
0.890625,0.775956284153005
0.890625,0.781420765027322
0.890625,0.786885245901639
0.890625,0.792349726775956
0.890625,0.797814207650273
0.890625,0.80327868852459
0.890625,0.808743169398907
0.890625,0.814207650273224
0.890625,0.819672131147541
0.890625,0.825136612021858
0.890625,0.830601092896175
0.890625,0.836065573770492
0.890625,0.841530054644809
0.875,0.841530054644809
0.859375,0.841530054644809
0.859375,0.846994535519126
0.84375,0.846994535519126
0.84375,0.852459016393443
0.84375,0.85792349726776
0.84375,0.863387978142076
0.84375,0.868852459016393
0.828125,0.868852459016393
0.828125,0.87431693989071
0.8125,0.87431693989071
0.8125,0.879781420765027
0.796875,0.879781420765027
0.78125,0.879781420765027
0.78125,0.885245901639344
0.78125,0.890710382513661
0.78125,0.896174863387978
0.78125,0.901639344262295
