"Gene","AUC","P_Value","Validation_AUC"
"CCL8",0.721226092896175,1.39867607351814e-07,0.756750255577605
"CD40",0.874786543715847,4.61919171497613e-19,0.880810632028384
"IFI35",0.754141051912568,1.45757759877763e-09,0.796289614528835
"IRF7",0.6640625,9.43787030979178e-05,0.707047928317999
"LY6E",0.712132855191257,4.44230097701655e-07,0.719075109748031
"SERPING1",0.673454576502732,3.65616646541468e-05,0.695080882795117
"SIGLEC1",0.803577527322404,4.97961327013713e-13,0.806212039208612
"STAT2",0.763533128415301,3.55128098376678e-10,0.771122737386494
