"Gene","AUC","P_Value","Validation_AUC"
"GBP5",0.803571428571429,0.0076813319941601,0.56989247311828
"IFI35",0.791666666666667,0.0107665386168549,0.501536098310292
"SERPING1",0.785714285714286,0.0126696832579186,0.587557603686636
"SIGLEC1",0.726190476190476,0.0526433830000932,0.56605222734255
"STAT2",0.744047619047619,0.0355979166882384,0.491167434715822
